RUN,VM1,VM2,VM3,C1,C2,C3,H1,H2,H3
MPI_Wtick,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09
HPL_Tflops,0.00514137,0.00512789,0.00511576,0.00552649,0.00559106,0.0055386,0.00548935,0.00551584,0.00554237
HPL_time,1093.2,1096.07,1098.67,1017.02,1005.27,1014.79,1023.9,1018.98,1014.1
HPL_eps,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16
HPL_RnormI,4.67E-09,4.67E-09,4.67E-09,4.67E-09,4.67E-09,4.67E-09,4.67E-09,4.67E-09,4.67E-09
HPL_Anorm1,5170.38,5170.38,5170.38,5170.38,5170.38,5170.38,5170.38,5170.38,5170.38
HPL_AnormI,5168.82,5168.82,5168.82,5168.82,5168.82,5168.82,5168.82,5168.82,5168.82
HPL_Xnorm1,339365,339365,339365,339365,339365,339365,339365,339365,339365
HPL_XnormI,100.359,100.359,100.359,100.359,100.359,100.359,100.359,100.359,100.359
HPL_BnormI,0.499989,0.499989,0.499989,0.499989,0.499989,0.499989,0.499989,0.499989,0.499989
HPL_N,20352,20352,20352,20352,20352,20352,20352,20352,20352
HPL_NB,192,192,192,192,192,192,192,192,192
HPL_nprow,2,2,2,2,2,2,2,2,2
HPL_npcol,2,2,2,2,2,2,2,2,2
HPL_depth,1,1,1,1,1,1,1,1,1
HPL_nbdiv,2,2,2,2,2,2,2,2,2
HPL_nbmin,4,4,4,4,4,4,4,4,4
HPL_cpfact,R,R,R,R,R,R,R,R,R
HPL_crfact,C,C,C,C,C,C,C,C,C
HPL_ctop,1,1,1,1,1,1,1,1,1
HPL_order,R,R,R,R,R,R,R,R,R
HPL_dMACH_EPS,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16
HPL_dMACH_SFMIN,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308
HPL_dMACH_BASE,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00
HPL_dMACH_PREC,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
HPL_dMACH_MLEN,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01
HPL_dMACH_RND,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
HPL_dMACH_EMIN,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03
HPL_dMACH_RMIN,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308,2.23E-308
HPL_dMACH_EMAX,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03
HPL_dMACH_RMAX,1.80E+308,1.80E+308,1.80E+308,1.80E+308,1.80E+308,1.80E+308,1.80E+308,1.80E+308,1.80E+308
HPL_sMACH_EPS,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08
HPL_sMACH_SFMIN,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38
HPL_sMACH_BASE,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00
HPL_sMACH_PREC,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07
HPL_sMACH_MLEN,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01
HPL_sMACH_RND,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
HPL_sMACH_EMIN,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02
HPL_sMACH_RMIN,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38
HPL_sMACH_EMAX,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02
HPL_sMACH_RMAX,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38
dweps,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16
sweps,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08
HPLMaxProcs,4,4,4,4,4,4,4,4,4
HPLMinProcs,4,4,4,4,4,4,4,4,4
DGEMM_N,5874,5874,5874,5874,5874,5874,5874,5874,5874
StarDGEMM_Gflops,1.23842,1.31509,1.31626,1.38091,1.16312,1.36538,1.3946,1.40338,1.40243
SingleDGEMM_Gflops,1.95663,1.94661,1.81855,2.08569,2.02741,2.13093,2.06544,2.02695,2.07106
PTRANS_GBs,0.195954,0.209475,0.181675,1.31551,0.905309,1.32316,1.49209,1.47718,1.51429
PTRANS_time,1.06174,3.0065,3.40726,0.585203,0.77461,0.621635,0.535447,0.520108,0.547061
PTRANS_residual,0,0,0,0,0,0,0,0,0
PTRANS_n,10176,10176,10176,10176,10176,10176,10176,10176,10176
PTRANS_nb,192,192,192,192,192,192,192,192,192
PTRANS_nprow,2,2,2,2,2,2,2,2,2
PTRANS_npcol,2,2,2,2,2,2,2,2,2
MPIRandomAccess_LCG_N,268435456,268435456,268435456,268435456,268435456,268435456,268435456,268435456,268435456
MPIRandomAccess_LCG_time,63.4762,62.6011,63.3511,63.6338,59.4626,62.6979,31.6591,31.2598,31.1247
MPIRandomAccess_LCG_CheckTime,12.4986,12.1391,12.4161,3.9654,4.5339,3.75663,19.7013,20.4037,20.886
MPIRandomAccess_LCG_Errors,0,0,0,0,0,0,0,0,0
MPIRandomAccess_LCG_ErrorsFraction,0,0,0,0,0,0,0,0,0
MPIRandomAccess_LCG_ExeUpdates,141263036,141123376,143054728,182183124,128128064,181283216,1073741824,1073741824,1073741824
MPIRandomAccess_LCG_GUPs,0.00222545,0.00225433,0.00225813,0.00286299,0.00215477,0.00289138,0.0339157,0.034349,0.034498
MPIRandomAccess_LCG_TimeBound,60,60,60,60,60,60,60,60,60
MPIRandomAccess_LCG_Algorithm,0,0,0,0,0,0,0,0,0
MPIRandomAccess_N,268435456,268435456,268435456,268435456,268435456,268435456,268435456,268435456,268435456
MPIRandomAccess_time,59.2938,58.8071,63.36,59.7077,62.8761,61.9482,33.5248,34.608,33.8805
MPIRandomAccess_CheckTime,12.6473,12.1574,13.0495,4.25027,6.50397,4.53499,26.4159,24.0722,23.2958
MPIRandomAccess_Errors,0,0,0,0,0,0,0,0,0
MPIRandomAccess_ErrorsFraction,0,0,0,0,0,0,0,0,0
MPIRandomAccess_ExeUpdates,135852364,135380856,143323732,169914188,124478164,183542976,1073741824,1073741824,1073741824
MPIRandomAccess_GUPs,0.00229117,0.00230212,0.00226205,0.00284577,0.00197974,0.00296285,0.0320283,0.0310258,0.031692
MPIRandomAccess_TimeBound,60,60,60,60,60,60,60,60,60
MPIRandomAccess_Algorithm,0,0,0,0,0,0,0,0,0
RandomAccess_LCG_N,67108864,67108864,67108864,67108864,67108864,67108864,67108864,67108864,67108864
StarRandomAccess_LCG_GUPs,0.00568445,0.00573783,0.0057039,0.0150076,0.0113469,0.0152095,0.0147359,0.0140574,0.0140746
SingleRandomAccess_LCG_GUPs,0.0215967,0.0250996,0.0247529,0.0483006,0.0310381,0.0464227,0.0533505,0.0446431,0.0442144
RandomAccess_N,67108864,67108864,67108864,67108864,67108864,67108864,67108864,67108864,67108864
StarRandomAccess_GUPs,0.00543449,0.00562693,0.00554447,0.0147887,0.010892,0.0139973,0.0134453,0.0131266,0.0130661
SingleRandomAccess_GUPs,0.0236105,0.0279894,0.0250704,0.0536881,0.0344921,0.0459599,0.0453016,0.0497242,0.0456324
STREAM_VectorSize,34516992,34516992,34516992,34516992,34516992,34516992,34516992,34516992,34516992
STREAM_Threads,1,1,1,1,1,1,1,1,1
StarSTREAM_Copy,5.00448,5.072,5.02523,5.37472,5.42746,5.41727,5.40942,5.37448,5.38234
StarSTREAM_Scale,3.35294,3.36151,3.31387,3.5412,3.56148,3.55787,3.56925,3.56758,3.54461
StarSTREAM_Add,3.7496,3.76654,3.74316,4.05066,4.08973,4.08664,4.07062,4.07898,4.06156
StarSTREAM_Triad,3.7294,3.75311,3.68372,4.01942,4.00789,4.03918,4.01183,4.01436,3.97327
SingleSTREAM_Copy,22.3267,22.6071,21.9618,23.9213,24.3129,24.0945,23.5031,23.3749,23.4543
SingleSTREAM_Scale,13.3163,13.4145,13.0533,14.287,14.246,14.1609,13.9236,14.1099,14.1419
SingleSTREAM_Add,14.5118,14.5552,14.128,15.3633,15.2261,15.5509,14.9474,15.2249,15.0159
SingleSTREAM_Triad,14.4413,14.7159,14.1494,15.3305,15.59,15.507,15.2007,15.2717,15.1803
FFT_N,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216
StarFFT_Gflops,1.46206,1.48093,1.41658,1.81548,1.82127,1.86052,1.82341,1.81836,1.80739
SingleFFT_Gflops,2.64843,2.67936,2.58768,2.70894,2.81632,2.77502,2.57668,2.82752,2.81329
MPIFFT_N,33554432,33554432,33554432,33554432,33554432,33554432,33554432,33554432,33554432
MPIFFT_Gflops,1.18954,1.30435,1.19858,3.74716,3.52914,3.74151,4.0269,4.05547,4.04456
MPIFFT_maxErr,2.09E-15,2.09E-15,2.09E-15,2.12E-15,2.12E-15,2.12E-15,2.12E-15,2.12E-15,2.12E-15
MPIFFT_Procs,4,4,4,4,4,4,4,4,4
MaxPingPongLatency_usec,77.6928,72.2319,77.028,11.7401,9.05725,9.08756,0.221667,0.217148,0.214593
RandomlyOrderedRingLatency_usec,60.5915,57.3732,73.3481,7.08054,7.04483,6.48928,0.229645,0.233461,0.22722
MinPingPongBandwidth_GBytes,0.255429,0.205889,0.229673,3.80351,5.6282,5.55478,11.9588,10.6801,11.9117
NaturallyOrderedRingBandwidth_GBytes,0.155675,0.15831,0.122437,1.94965,2.06074,2.1804,3.08189,3.09654,3.1237
RandomlyOrderedRingBandwidth_GBytes,0.128249,0.10389,0.127241,1.86286,1.83456,1.87359,2.9782,2.89455,3.03895
MinPingPongLatency_usec,1.88187,1.98544,2.00469,1.9105,1.79856,1.84938,0.204444,0.200556,0.197185
AvgPingPongLatency_usec,49.2086,47.3455,50.5247,7.54071,6.42648,6.59797,0.217327,0.207963,0.207894
MaxPingPongBandwidth_GBytes,9.89773,12.6294,11.6218,13.4136,13.8158,13.9478,13.7366,13.5503,14.4382
AvgPingPongBandwidth_GBytes,3.21166,4.05421,3.58462,7.16498,8.35055,8.31452,12.873,12.5047,12.872
NaturallyOrderedRingLatency_usec,65.472,53.1754,65.6309,6.3599,5.7004,5.7181,0.230545,0.229568,0.221909
FFTEnblk,16,16,16,16,16,16,16,16,16
FFTEnp,8,8,8,8,8,8,8,8,8
FFTEl2size,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576
M_OPENMP,-1,-1,-1,-1,-1,-1,-1,-1,-1
omp_get_num_threads,0,0,0,0,0,0,0,0,0
omp_get_max_threads,0,0,0,0,0,0,0,0,0
omp_get_num_procs,0,0,0,0,0,0,0,0,0
MemProc,-1,-1,-1,-1,-1,-1,-1,-1,-1
MemSpec,-1,-1,-1,-1,-1,-1,-1,-1,-1
MemVal,-1,-1,-1,-1,-1,-1,-1,-1,-1
MPIFFT_time0,9.71E-07,1.75E-06,7.88E-07,9.30E-07,9.36E-07,1.01E-06,8.57E-07,1.09E-06,9.99E-07
MPIFFT_time1,1.02884,0.877706,0.925241,0.164397,0.167342,0.156124,0.142415,0.13926,0.135421
MPIFFT_time2,0.100099,0.11519,0.157341,0.100922,0.215046,0.139581,0.128538,0.116265,0.138473
MPIFFT_time3,0.912577,0.765713,0.894951,0.0971813,0.0618457,0.0806997,0.0549779,0.0534204,0.0552288
MPIFFT_time4,0.573063,0.451504,0.569778,0.522813,0.50708,0.504227,0.497918,0.517612,0.527131
MPIFFT_time5,0.846893,0.97879,0.858041,0.158486,0.164526,0.181998,0.139893,0.131672,0.102856
MPIFFT_time6,8.10E-07,4.66E-07,9.14E-07,7.86E-07,9.47E-07,1.33E-06,1.17E-06,9.73E-07,9.45E-07
CPS_HPCC_FFT_235,0,0,0,0,0,0,0,0,0
CPS_HPCC_FFTW_ESTIMATE,0,0,0,0,0,0,0,0,0
CPS_HPCC_MEMALLCTR,0,0,0,0,0,0,0,0,0
CPS_HPL_USE_GETPROCESSTIMES,0,0,0,0,0,0,0,0,0
CPS_RA_SANDIA_NOPT,0,0,0,0,0,0,0,0,0
CPS_RA_SANDIA_OPT2,0,0,0,0,0,0,0,0,0
CPS_USING_FFTW,0,0,0,0,0,0,0,0,0