Support,Link,Interval (sec),Transfer,,Bitrate,
vm,node01,0.00-1.00,367,MBytes,3.08,Gbits/sec
vm,node01,1.00-2.00,385,MBytes,3.23,Gbits/sec
vm,node01,2.00-3.00,392,MBytes,3.29,Gbits/sec
vm,node01,3.00-4.00,398,MBytes,3.34,Gbits/sec
vm,node01,4.00-5.00,406,MBytes,3.41,Gbits/sec
vm,node01,5.00-6.00,381,MBytes,3.19,Gbits/sec
vm,node01,6.00-7.00,376,MBytes,3.15,Gbits/sec
vm,node01,7.00-8.00,372,MBytes,3.12,Gbits/sec
vm,node01,8.00-9.00,380,MBytes,3.19,Gbits/sec
vm,node01,9.00-9.99,388,MBytes,3.27,Gbits/sec
vm,node02,0.00-1.00,377,MBytes,3.16,Gbits/sec
vm,node02,1.00-2.00,394,MBytes,3.31,Gbits/sec
vm,node02,2.00-3.00,407,MBytes,3.41,Gbits/sec
vm,node02,3.00-4.00,397,MBytes,3.33,Gbits/sec
vm,node02,4.00-5.00,371,MBytes,3.11,Gbits/sec
vm,node02,5.00-6.00,372,MBytes,3.12,Gbits/sec
vm,node02,6.00-7.00,371,MBytes,3.11,Gbits/sec
vm,node02,7.00-8.00,379,MBytes,3.18,Gbits/sec
vm,node02,8.00-9.00,398,MBytes,3.34,Gbits/sec
vm,node02,9.00-10.00,371,MBytes,3.13,Gbits/sec
vm,s01c02,0.00-1.00,188,MBytes,1.58,Gbits/sec
vm,s01c02,1.00-2.00,260,MBytes,2.18,Gbits/sec
vm,s01c02,2.00-3.00,256,MBytes,2.15,Gbits/sec
vm,s01c02,3.00-4.00,254,MBytes,2.13,Gbits/sec
vm,s01c02,4.00-5.00,255,MBytes,2.14,Gbits/sec
vm,s01c02,5.00-6.00,261,MBytes,2.19,Gbits/sec
vm,s01c02,6.00-7.00,258,MBytes,2.17,Gbits/sec
vm,s01c02,7.00-8.00,254,MBytes,2.13,Gbits/sec
vm,s01c02,8.00-9.00,273,MBytes,2.28,Gbits/sec
vm,s01c02,9.00-10.00,249,MBytes,2.09,Gbits/sec
vm,s01c02,10.00-10.00,174,KBytes,2.08,Gbits/sec
vm,s02c01,0.00-1.00,205,MBytes,2.12,Gbits/sec
vm,s02c01,1.00-2.00,263,MBytes,2.20,Gbits/sec
vm,s02c01,2.00-3.00,230,MBytes,2.33,Gbits/sec
vm,s02c01,3.00-4.00,243,MBytes,2.04,Gbits/sec
vm,s02c01,4.00-5.00,233,MBytes,2.35,Gbits/sec
vm,s02c01,5.00-6.00,252,MBytes,2.11,Gbits/sec
vm,s02c01,6.00-7.00,257,MBytes,2.16,Gbits/sec
vm,s02c01,7.00-8.00,264,MBytes,2.21,Gbits/sec
vm,s02c01,8.00-9.00,250,MBytes,2.10,Gbits/sec
vm,s02c01,9.00-10.00,213,MBytes,2.19,Gbits/sec
vm,s02c01,10.00-10.00,259,KBytes,2.39,Gbits/sec
container,node01,0.00-1.00,5.30,GBytes,42.1,Gbits/sec
container,node01,1.00-2.00,5.10,GBytes,43.8,Gbits/sec
container,node01,2.00-3.00,5.09,GBytes,43.7,Gbits/sec
container,node01,3.00-4.00,5.24,GBytes,45.0,Gbits/sec
container,node01,4.00-5.00,5.22,GBytes,44.8,Gbits/sec
container,node01,5.00-6.00,5.19,GBytes,44.5,Gbits/sec
container,node01,6.00-7.00,5.22,GBytes,44.8,Gbits/sec
container,node01,7.00-8.00,5.22,GBytes,44.9,Gbits/sec
container,node01,8.00-9.00,5.12,GBytes,44.0,Gbits/sec
container,node01,9.00-10.00,5.25,GBytes,41.7,Gbits/sec
container,node02,0.00-1.00,5.35,GBytes,42.5,Gbits/sec
container,node02,1.00-2.00,5.15,GBytes,44.2,Gbits/sec
container,node02,2.00-3.00,5.15,GBytes,44.3,Gbits/sec
container,node02,3.00-4.00,5.23,GBytes,44.9,Gbits/sec
container,node02,4.00-5.00,5.35,GBytes,42.5,Gbits/sec
container,node02,5.00-6.00,5.18,GBytes,44.5,Gbits/sec
container,node02,6.00-7.00,5.14,GBytes,44.1,Gbits/sec
container,node02,7.00-8.00,5.18,GBytes,44.5,Gbits/sec
container,node02,8.00-9.00,5.18,GBytes,44.5,Gbits/sec
container,node02,9.00-10.00,5.20,GBytes,44.7,Gbits/sec
container,node02,10.00-10.00,640,KBytes,18.4,Gbits/sec
container,s01c02,0.00-1.00,5.02,GBytes,43.1,Gbits/sec
container,s01c02,1.00-2.00,5.10,GBytes,43.8,Gbits/sec
container,s01c02,2.00-3.00,5.09,GBytes,43.7,Gbits/sec
container,s01c02,3.00-4.00,5.18,GBytes,44.5,Gbits/sec
container,s01c02,4.00-5.00,5.09,GBytes,43.7,Gbits/sec
container,s01c02,5.00-6.00,5.16,GBytes,44.4,Gbits/sec
container,s01c02,6.00-7.00,5.14,GBytes,44.1,Gbits/sec
container,s01c02,7.00-8.00,5.13,GBytes,44.0,Gbits/sec
container,s01c02,8.00-9.00,5.10,GBytes,43.8,Gbits/sec
container,s01c02,9.00-10.00,5.13,GBytes,44.1,Gbits/sec
container,s02c01,0.00-1.00,5.01,GBytes,43.0,Gbits/sec
container,s02c01,1.00-2.00,5.07,GBytes,43.6,Gbits/sec
container,s02c01,2.00-3.00,5.18,GBytes,44.4,Gbits/sec
container,s02c01,3.00-4.00,5.08,GBytes,43.7,Gbits/sec
container,s02c01,4.00-5.00,5.12,GBytes,44.0,Gbits/sec
container,s02c01,5.00-6.00,5.10,GBytes,43.7,Gbits/sec
container,s02c01,6.00-7.00,5.16,GBytes,44.4,Gbits/sec
container,s02c01,7.00-8.00,5.04,GBytes,43.3,Gbits/sec
container,s02c01,8.00-9.00,5.13,GBytes,44.1,Gbits/sec
container,s02c01,9.00-10.00,5.14,GBytes,44.2,Gbits/sec
container,s02c01,10.00-10.00,256,KBytes,8.14,Gbits/sec