Support,stressor,Bogo Ops/s (Real Time),Bogo Ops/s (Usr+Sys Time)
vm,cpu,933.13,933.67
vm,cpu,930.14,931.87
vm,cpu,929.84,931.11
vm,cpu,929.57,930.7
vm,cpu,907.39,908.36
vm,cpu,910.28,911.52
vm,cpu,908.56,911.15
vm,cpu,913.76,915.64
vm,cpu,927.95,929.53
vm,cpu,928.97,930.24
vm,cpu,928.81,929.9
vm,cpu,927.41,928.16
vm,cpu,927.25,928.38
vm,cpu,932.02,932.55
vm,cpu,929.83,931.26
vm,cpu,929.04,930.08
vm,cpu,920.9,921.55
vm,cpu,927.81,929.4
vm,cpu,928.06,929.62
vm,cpu,928.37,929.16
vm,hdd,993.88,6534.1
vm,hdd,991.75,6505.89
vm,hdd,969.59,6790.34
vm,hdd,969.69,6653.02
vm,hdd,1082.72,8763.26
vm,hdd,1088.75,8885.35
vm,hdd,1155.87,8098.85
vm,hdd,1179.24,8376.93
vm,hdd,1138.35,7385.14
vm,hdd,1143.35,7631.84
vm,hdd,1127.28,7590.69
vm,hdd,1145.85,7363.06
vm,hdd,1077.52,6573.5
vm,hdd,1088.31,6762.46
vm,hdd,1079.67,6397.93
vm,hdd,1081.13,6386.92
vm,hdd,1091.2,7532.87
vm,hdd,1091.01,7674
vm,hdd,1059.93,7422.49
vm,hdd,1052.94,7442.71
vm,memory,"40,182.77","42,949.06"
vm,memory,"40,030.53","43,461.27"
vm,memory,"40,034.76","43,565.01"
vm,memory,"39,275.36","41,228.56"
vm,memory,"40,374.06","40,446.34"
vm,memory,"40,379.02","40,449.14"
vm,memory,"40,377.88","40,420.53"
vm,memory,"39,968.61","41,579.86"
vm,memory,"40,103.07","41,594.15"
vm,memory,"40,127.02","41,436.65"
vm,memory,"40,218.39","41,083.11"
vm,memory,"40,288.58","41,364.89"
vm,memory,"40,103.35","41,573.23"
vm,memory,"40,431.66","40,471.72"
vm,memory,"40,170.93","41,544.54"
vm,memory,"40,397.24","40,489.97"
vm,memory,"40,177.27","41,691.16"
vm,memory,"40,434.02","40,910.14"
vm,memory,"40,500.16","40,585.62"
vm,memory,"40,079.05","41,830.04"
container,cpu,1334.21,1335.66
container,cpu,1319.35,1321.08
container,cpu,1346.11,1347.58
container,cpu,1354.69,1356.06
container,cpu,1343.75,1345.19
container,cpu,1329.1,1330.26
container,cpu,1331.92,1333.29
container,cpu,1361.64,1362.81
container,cpu,1331.45,1332.82
container,cpu,1334.33,1335.46
container,cpu,1350.37,1351.78
container,cpu,1331.12,1332.48
container,cpu,1337.09,1338.26
container,cpu,1347.95,1349.37
container,cpu,1354.15,1355.35
container,cpu,1331.31,1332.4
container,cpu,1336.87,1338.12
container,cpu,1319.63,1320.61
container,cpu,1367.45,1368.67
container,cpu,1355.94,1357.47
container,memory,53461.08,65476.46
container,memory,50306.49,67730.11
container,memory,49675.04,68800.97
container,memory,58225.74,67377.73
container,memory,50286.7,73519.97
container,memory,41159,67163.44
container,memory,45466.74,71781.28
container,memory,48879.9,67999.85
container,memory,60727.41,67056.83
container,memory,52275.75,64548.06
container,memory,50305.54,66681.3
container,memory,54960.15,62965.17
container,memory,54410.39,64524.4
container,memory,53881.54,62800.54
container,memory,53028.74,64374.32
container,memory,61745.03,64225.28
container,memory,48202.37,67973.2
container,memory,52248.69,62780.88
container,hdd,640.73,4943.77
container,hdd,668.47,5651.09
container,hdd,780.08,6110.7
container,hdd,731.42,5988.78
container,hdd,639.42,5262.17
container,hdd,670.66,4711.9
container,hdd,742.52,6017.87
container,hdd,709.84,5032.1
container,hdd,667.14,4859.9
container,hdd,701.52,4705.2
container,hdd,766.96,5870.63
container,hdd,740.47,4982.88
container,hdd,597.16,4614.1
container,hdd,613.45,4642.07
container,hdd,693.26,5995.69
container,hdd,650.79,4916.93
container,hdd,601.42,5125.41
container,hdd,572.18,4662.98
container,hdd,602.29,4876.78
container,hdd,703.21,6085.8
host,cpu,1356.25,1356.47
host,cpu,1311.01,1311.27
host,cpu,1328.92,1329.28
host,cpu,1354.91,1356.05
host,cpu,1366.83,1367.22
host,cpu,1343.58,1343.76
host,cpu,1342.09,1342.3
host,cpu,1361.66,1361.85
host,cpu,1341.63,1341.77
host,cpu,1360.41,1360.52
host,cpu,1332.19,1332.32
host,cpu,1365.27,1365.57
host,cpu,1336.82,1336.99
host,cpu,1358.06,1358.4
host,cpu,1357.57,1357.73
host,cpu,1340.05,1340.21
host,cpu,1361.44,1361.62
host,cpu,1364.04,1364.22
host,cpu,1326.29,1326.53
host,cpu,1370.63,1370.81
host,memory,47772.11,67100.66
host,memory,53649.85,61520.15
host,memory,53498.55,62420.18
host,memory,57742.72,64225.16
host,memory,51444.4,61522.07
host,memory,51254.26,60990.37
host,memory,60883.68,65582.96
host,memory,59486.08,64412.44
host,memory,53467.54,57784.77
host,memory,59955.35,61825.93
host,memory,48957.25,57942.49
host,memory,50776.91,56338.87
host,memory,49288.53,68064.62
host,memory,61735.33,61747.64
host,memory,47731.61,64959.13
host,memory,59524.97,65139.01
host,memory,49128.68,64101.98
host,hdd,807.44,5422.41
host,hdd,772.82,5233.3
host,hdd,861.68,5973.06
host,hdd,756.91,5208.39
host,hdd,806.25,5524.88
host,hdd,842.1,5839.27
host,hdd,772.47,5382.35
host,hdd,750.32,5177.09
host,hdd,842.38,5603
host,hdd,706.45,4899.4
host,hdd,768.17,5124.67
host,hdd,734.14,4961.92
host,hdd,821.37,5112.16
host,hdd,891.22,5692.24
host,hdd,770.35,4973.05
host,hdd,765.96,5081.19
host,hdd,797.19,5678.14
host,hdd,661.41,4977.5
host,hdd,659.57,4886.61
host,hdd,736.88,4991.88