Support,Run,stressor,Bogo Ops,Real Time (s),Usr Time (s),Sys Time (s),Bogo Ops/s (Real Time),Bogo Ops/s (Usr+Sys Time)
vm,1,cpu,55992,60,59.94,0.03,933.13,933.67
vm,1,cpu,55819,60.01,59.82,0.08,930.14,931.87
vm,1,cpu,55792,60,59.84,0.08,929.84,931.11
vm,1,cpu,55777,60,59.9,0.03,929.57,930.7
vm,2,cpu,54447,60,59.72,0.22,907.39,908.36
vm,2,cpu,54618,60,59.87,0.05,910.28,911.52
vm,2,cpu,54523,60.01,59.76,0.08,908.56,911.15
vm,2,cpu,54847,60.02,59.88,0.02,913.76,915.64
vm,3,cpu,55679,60,59.76,0.14,927.95,929.53
vm,3,cpu,55740,60,59.9,0.02,928.97,930.24
vm,3,cpu,55738,60.01,59.85,0.09,928.81,929.9
vm,3,cpu,55662,60.02,59.89,0.08,927.41,928.16
vm,4,cpu,55638,60,59.9,0.03,927.25,928.38
vm,4,cpu,55925,60,59.93,0.04,932.02,932.55
vm,4,cpu,55792,60,59.87,0.04,929.83,931.26
vm,4,cpu,55749,60.01,59.89,0.05,929.04,930.08
vm,5,cpu,55256,60,59.91,0.05,920.9,921.55
vm,5,cpu,55671,60,59.83,0.07,927.81,929.4
vm,5,cpu,55684,60,59.81,0.09,928.06,929.62
vm,5,cpu,55703,60,59.92,0.03,928.37,929.16
vm,1,hdd,59787,60.16,3.25,5.9,993.88,6534.1
vm,1,hdd,59659,60.16,3.26,5.91,991.75,6505.89
vm,1,hdd,58329,60.16,3.48,5.11,969.59,6790.34
vm,1,hdd,58347,60.17,3.67,5.1,969.69,6653.02
vm,2,hdd,65111,60.14,2.83,4.6,1082.72,8763.26
vm,2,hdd,65485,60.15,2.85,4.52,1088.75,8885.35
vm,2,hdd,70622,61.1,3.21,5.51,1155.87,8098.85
vm,2,hdd,72628,61.59,3.43,5.24,1179.24,8376.93
vm,3,hdd,71045,62.41,3.68,5.94,1138.35,7385.14
vm,3,hdd,71434,62.48,4.09,5.27,1143.35,7631.84
vm,3,hdd,70897,62.89,3.84,5.5,1127.28,7590.69
vm,3,hdd,72158,62.97,3.87,5.93,1145.85,7363.06
vm,4,hdd,64749,60.09,4.03,5.82,1077.52,6573.5
vm,4,hdd,65393,60.09,3.67,6,1088.31,6762.46
vm,4,hdd,64875,60.09,4.11,6.03,1079.67,6397.93
vm,4,hdd,64955,60.08,4.11,6.06,1081.13,6386.92
vm,5,hdd,65536,60.06,3.74,4.96,1091.2,7532.87
vm,5,hdd,65536,60.07,3.62,4.92,1091.01,7674
vm,5,hdd,63685,60.08,2.85,5.73,1059.93,7422.49
vm,5,hdd,63263,60.08,2.95,5.55,1052.94,7442.71
vm,1,vm,"2,413,737",60.07,46.23,9.97,"40,182.77","42,949.06"
vm,1,vm,"2,404,712",60.07,44.19,11.14,"40,030.53","43,461.27"
vm,1,vm,"2,405,224",60.08,45.04,10.17,"40,034.76","43,565.01"
vm,1,vm,"2,426,713",61.79,48.65,10.21,"39,275.36","41,228.56"
vm,2,vm,"2,424,758",60.06,52.19,7.76,"40,374.06","40,446.34"
vm,2,vm,"2,424,926",60.05,51.94,8.01,"40,379.02","40,449.14"
vm,2,vm,"2,425,636",60.07,52.41,7.6,"40,377.88","40,420.53"
vm,2,vm,"2,403,316",60.13,46.21,11.59,"39,968.61","41,579.86"
vm,3,vm,"2,408,717",60.06,47.15,10.76,"40,103.07","41,594.15"
vm,3,vm,"2,410,370",60.07,48.72,9.45,"40,127.02","41,436.65"
vm,3,vm,"2,415,687",60.06,49.21,9.59,"40,218.39","41,083.11"
vm,3,vm,"2,419,846",60.06,50.1,8.4,"40,288.58","41,364.89"
vm,4,vm,"2,408,753",60.06,46.79,11.15,"40,103.35","41,573.23"
vm,4,vm,"2,428,303",60.06,52.09,7.91,"40,431.66","40,471.72"
vm,4,vm,"2,412,907",60.07,48.34,9.74,"40,170.93","41,544.54"
vm,4,vm,"2,426,564",60.07,51.9,8.03,"40,397.24","40,489.97"
vm,5,vm,"2,413,501",60.07,47.88,10.01,"40,177.27","41,691.16"
vm,5,vm,"2,428,835",60.07,50.31,9.06,"40,434.02","40,910.14"
vm,5,vm,"2,432,702",60.07,51.7,8.24,"40,500.16","40,585.62"
vm,5,vm,"2,407,737",60.07,46.03,11.53,"40,079.05","41,830.04"
container,1,cpu,80056,60,59.92,0.01,1334.21,1335.66
container,1,cpu,79161,60,59.92,0,1319.35,1321.08
container,1,cpu,80767,60,59.93,0,1346.11,1347.58
container,1,cpu,81282,60,59.94,0,1354.69,1356.06
container,2,cpu,80625,60,59.93,0,1343.75,1345.19
container,2,cpu,79746,60,59.94,0,1329.1,1330.26
container,2,cpu,79917,60,59.94,0,1331.92,1333.29
container,2,cpu,81706,60.01,59.95,0,1361.64,1362.81
container,3,cpu,79889,60,59.93,0,1331.45,1332.82
container,3,cpu,80062,60,59.95,0,1334.33,1335.46
container,3,cpu,81025,60,59.94,0,1350.37,1351.78
container,3,cpu,79876,60.01,59.94,0,1331.12,1332.48
container,4,cpu,80226,60,59.95,0,1337.09,1338.26
container,4,cpu,80879,60,59.94,0,1347.95,1349.37
container,4,cpu,81251,60,59.95,0,1354.15,1355.35
container,4,cpu,79882,60,59.95,0,1331.31,1332.4
container,5,cpu,80220,60.01,59.94,0,1336.87,1338.12
container,5,cpu,79178,60,59.96,0,1319.63,1320.61
container,5,cpu,82049,60,59.95,0,1367.45,1368.67
container,5,cpu,81362,60,59.93,0.01,1355.94,1357.47
container,1,vm,3209355,60.03,39.35,9.67,53461.08,65476.46
container,1,vm,3020427,60.04,34.91,9.68,50306.49,67730.11
container,1,vm,3020427,60.8,35.53,8.37,49675.04,68800.97
container,1,vm,3657087,62.81,42.36,11.92,58225.74,67377.73
container,2,vm,3019915,60.05,33.06,8.01,50286.7,73519.97
container,2,vm,2478437,60.22,28.36,8.54,41159,67163.44
container,2,vm,2757771,60.65,30.25,8.17,45466.74,71781.28
container,2,vm,3057803,62.56,34.79,10.17,48879.9,67999.85
container,3,vm,3646617,60.05,42.68,11.7,60727.41,67056.83
container,3,vm,3227787,61.75,39.54,10.46,52275.75,64548.06
container,3,vm,3022987,64.62,0,0,46781.35,522375496.8
container,3,vm,3209355,65.12,0,0.12,49285.18,26657100.85
container,4,vm,3020469,60.04,36.5,8.79,50305.54,66681.3
container,4,vm,3299971,60.04,41.74,10.67,54960.15,62965.17
container,4,vm,3267447,60.05,39.92,10.71,54410.39,64524.4
container,4,vm,3237033,60.08,40.77,10.78,53881.54,62800.54
container,5,vm,3183677,60.04,39.17,10.29,53028.74,64374.32
container,5,vm,3707007,60.04,45.7,12.02,61745.03,64225.28
container,5,vm,2895414,60.07,34.01,8.59,48202.37,67973.2
container,5,vm,3227787,61.78,41.09,10.32,52248.69,62780.88
container,1,hdd,39122,61.06,2.69,5.23,640.73,4943.77
container,1,hdd,41414,61.95,2.49,4.84,668.47,5651.09
container,1,hdd,49152,63.01,2.75,5.29,780.08,6110.7
container,1,hdd,46482,63.55,2.56,5.2,731.42,5988.78
container,2,hdd,38653,60.45,2.39,4.95,639.42,5262.17
container,2,hdd,41422,61.76,2.86,5.93,670.66,4711.9
container,2,hdd,48391,65.17,2.62,5.43,742.52,6017.87
container,2,hdd,46271,65.18,3.11,6.09,709.84,5032.1
container,3,hdd,40794,61.15,2.88,5.51,667.14,4859.9
container,3,hdd,43184,61.56,3.19,5.99,701.52,4705.2
container,3,hdd,49152,64.09,2.81,5.56,766.96,5870.63
container,3,hdd,47989,64.81,3.54,6.09,740.47,4982.88
container,4,hdd,35999,60.28,2.65,5.15,597.16,4614.1
container,4,hdd,39384,64.2,2.84,5.64,613.45,4642.07
container,4,hdd,46438,66.99,2.54,5.21,693.26,5995.69
container,4,hdd,43706,67.16,3.06,5.82,650.79,4916.93
container,5,hdd,37084,61.66,2.53,4.71,601.42,5125.41
container,5,hdd,35761,62.5,2.52,5.14,572.18,4662.98
container,5,hdd,40133,66.63,2.81,5.41,602.29,4876.78
container,5,hdd,47088,66.96,2.54,5.19,703.21,6085.8
host,1,cpu,81375,60,59.99,0,1356.25,1356.47
host,1,cpu,78661,60,59.99,0,1311.01,1311.27
host,1,cpu,79735,60,59.98,0,1328.92,1329.28
host,1,cpu,81300,60,59.94,0.01,1354.91,1356.05
host,2,cpu,82010,60,59.98,0,1366.83,1367.22
host,2,cpu,80619,60,59.99,0,1343.58,1343.76
host,2,cpu,80530,60,59.99,0,1342.09,1342.3
host,2,cpu,81700,60,59.99,0.01,1361.66,1361.85
host,3,cpu,80501,60,59.99,0.01,1341.63,1341.77
host,3,cpu,81625,60,59.99,0,1360.41,1360.52
host,3,cpu,79938,60,60,0,1332.19,1332.32
host,3,cpu,81925,60.01,59.99,0,1365.27,1365.57
host,4,cpu,80209,60,59.99,0,1336.82,1336.99
host,4,cpu,81485,60,59.98,0,1358.06,1358.4
host,4,cpu,81458,60,60,0,1357.57,1357.73
host,4,cpu,80406,60,59.99,0,1340.05,1340.21
host,5,cpu,81687,60,59.99,0,1361.44,1361.62
host,5,cpu,81844,60,59.99,0,1364.04,1364.22
host,5,cpu,79579,60,59.99,0,1326.29,1326.53
host,5,cpu,82241,60,59.99,0,1370.63,1370.81
host,1,vm,2868087,60.04,33.81,8.93,47772.11,67100.66
host,1,vm,3221407,60.05,41.46,10.91,53649.85,61520.15
host,1,vm,3225739,60.3,40.48,11.19,53498.55,62420.18
host,1,vm,3492223,60.48,43.17,11.21,57742.72,64225.16
host,2,vm,3089164,60.05,38.87,11.34,51444.4,61522.07
host,2,vm,3077585,60.05,38.75,11.71,51254.26,60990.37
host,2,vm,3656063,60.05,43.6,12.14,60883.68,65582.96
host,2,vm,3623295,60.91,43.83,12.42,59486.08,64412.44
host,3,vm,3225739,60.33,44.88,10.94,53467.54,57784.77
host,3,vm,3623295,60.43,46.71,11.89,59955.35,61825.93
host,3,vm,3059851,62.5,40.72,12.08,48957.25,57942.49
host,3,vm,3229835,63.61,45.15,12.17,50776.91,56338.87
host,4,vm,3055755,62,35.09,9.81,49288.53,68064.62
host,4,vm,2461247,65.15,0,0.15,37778.77,16080065.59
host,4,vm,3229835,65.16,0,0.17,49564.81,19361778.02
host,4,vm,3055755,65.18,0,0.18,46880.68,16565230.83
host,5,vm,3707069,60.05,47.47,12.56,61735.33,61747.64
host,5,vm,2888843,60.52,35.93,8.54,47731.61,64959.13
host,5,vm,3623295,60.87,44.28,11.35,59524.97,65139.01
host,5,vm,3021451,61.5,37.57,9.56,49128.68,64101.98
host,1,hdd,49613,61.45,3.23,5.92,807.44,5422.41
host,1,hdd,49015,63.42,3.35,6.01,772.82,5233.3
host,1,hdd,54745,63.53,3.23,5.94,861.68,5973.06
host,1,hdd,48113,63.56,3.33,5.9,756.91,5208.39
host,2,hdd,49152,60.96,3.4,5.5,806.25,5524.88
host,2,hdd,53248,63.23,3.15,5.97,842.1,5839.27
host,2,hdd,49152,63.63,3.37,5.76,772.47,5382.35
host,2,hdd,47765,63.66,3.48,5.75,750.32,5177.09
host,3,hdd,51563,61.21,3.23,5.97,842.38,5603
host,3,hdd,45131,63.88,3.24,5.97,706.45,4899.4
host,3,hdd,49152,63.99,3.26,6.33,768.17,5124.67
host,3,hdd,47320,64.46,3.41,6.13,734.14,4961.92
host,4,hdd,51220,62.36,3.54,6.48,821.37,5112.16
host,4,hdd,56440,63.33,3.46,6.45,891.22,5692.24
host,4,hdd,49152,63.8,3.39,6.49,770.35,4973.05
host,4,hdd,49096,64.1,3.56,6.11,765.96,5081.19
host,5,hdd,50195,62.96,3.03,5.81,797.19,5678.14
host,5,hdd,42841,64.77,3,5.61,661.41,4977.5
host,5,hdd,42740,64.8,3.14,5.6,659.57,4886.61
host,5,hdd,48336,65.6,3.68,6,736.88,4991.88