support,events_per_sec,total_time,total_events,latency_min,latency_avg,latency_max,latency_95th,latency_sum,fairness_events_avg,fairness_events_stddev,fairness_time_avg,fairness_time_stddev
vm,453.61,10.0004,4537,2.03,2.2,7.37,2.35,9997.35,4537,0,9.9973,0
vm,454.32,10.0004,4544,2.04,2.2,6.75,2.35,9997.37,4544,0,9.9974,0
vm,454.85,10.0018,4550,2.03,2.2,5.18,2.35,9998.86,4550,0,9.9989,0
vm,455.4,10.0008,4555,2.03,2.19,8.29,2.35,9998.04,4555,0,9.998,0
vm,451.09,10.0009,4512,2.06,2.22,6.2,2.39,9997.94,4512,0,9.9979,0
vm,453.33,10.0021,4535,2.05,2.2,7.7,2.35,9999.12,4535,0,9.9991,0
vm,455.31,10.0012,4540,2.05,2.2,6.4,2.35,9998.32,4540,0,9.9983,0
vm,451.89,10.0009,4520,2.07,2.21,5.81,2.39,9997.8,4520,0,9.9978,0
vm,453.84,10.0019,4540,2.05,2.2,5.63,2.35,9998.69,4540,0,9.9987,0
vm,454.17,10.001,4543,2.05,2.2,5.82,2.35,9998.04,4543,0,9.998,0
vm,455.17,10.0029,4554,2.04,2.2,5.63,2.39,9999.6,4554,0,9.9996,0
vm,452.94,10.002,4531,2.04,2.21,5,2.35,9998.95,4531,0,9.999,0
vm,454.17,10.001,4543,2.03,2.2,4.96,2.39,9997.89,4543,0,9.9979,0
vm,455.5,10.0025,4557,2.03,2.2,5.21,2.35,9997.49,4552,0,9.9975,0
vm,454.93,10.0013,4522,2.05,2.21,4.58,2.39,9998.1,4522,0,9.9981,0
vm,452.55,10.0001,4550,2.03,2.21,7.87,2.39,9998.06,4527,0,9.9981,0
vm,454.5,10.0023,4547,2.03,2.2,4.46,2.35,9996.97,4550,0,9.997,0
container,458.21,10.0004,4583,2.03,2.18,10.64,2.3,9998.66,4583,0,9.9987,0
container,458.2,10.0007,4583,2.03,2.18,10.98,2.3,9998.94,4583,0,9.9989,0
container,458.19,10.0009,4583,2.03,2.18,10.62,2.35,9998.96,4583,0,9.999,0
container,458.55,10.0016,4587,2.03,2.18,11.63,2.3,9999.9,4587,0,9.9999,0
container,463.76,10.0015,4639,2.03,2.16,6.01,2.18,10000.16,4639,0,10.0002,0
container,462.9,10.0006,4630,2.03,2.16,6.01,2.18,9999.22,4630,0,9.9992,0
container,462.39,10.0009,4625,2.03,2.16,5.98,2.18,9999.43,4625,0,9.9994,0
container,462.37,10.0013,4625,2.03,2.16,4.54,2.18,9999.81,4625,0,9.9998,0
container,461.86,10.0016,4620,2.03,2.16,4.54,2.18,10000.06,4620,0,10.0001,0
container,461.38,10.0011,4615,2.03,2.17,4.76,2.18,9999.7,4615,0,9.9997,0
container,461.67,10.0013,4618,2.03,2.17,4.55,2.18,9999.71,4618,0,9.9997,0
container,460.12,10.0001,4602,2.03,2.17,4.62,2.22,9998.7,4609,0,9.9987,0
container,460.36,10.0014,4605,2.03,2.17,4.5,2.22,9999.82,4605,0,9.9998,0
container,460.37,10.0012,4605,2.03,2.17,4.49,2.22,9999.85,4605,0,9.9999,0
container,456.49,10.0009,4566,2.03,2.19,4.15,2.35,9999.56,4566,0,9.9996,0
container,456.1,10.0005,4562,2.03,2.19,4.15,2.35,9999.23,4562,0,9.9992,0
container,456.66,10.001,4568,2.03,2.19,4.25,2.35,9999.75,4568,0,9.9997,0
container,455.72,10.0019,4559,2.05,2.19,4.19,2.35,10000.52,4559,0,10.0005,0
host,460.93,10.0001,4610,2.05,2.17,4.71,2.26,9998.41,4610,0,9.9984,0
host,455.18,10.001,4553,2.05,2.2,4.92,2.57,9999.33,4553,0,9.9993,0
host,461.45,10.0017,4616,2.03,2.17,4.94,2.26,9999.96,4616,0,10,0
host,459.74,10.0019,4599,2.03,2.17,4.58,2.26,10000.15,4599,0,10.0001,0
host,459.4,10.0007,4595,2.03,2.18,4.61,2.3,9998.99,4595,0,9.999,0
host,457.49,10.0003,4576,2.06,2.18,4.72,2.3,9998.45,4576,0,9.9985,0
host,453.05,10.0013,4532,2.03,2.21,4.59,2.61,9999.61,4532,0,9.9996,0
host,458.63,10.0013,4588,2.03,2.18,4.62,2.3,9999.54,4588,0,9.9995,0
host,446.23,10.0001,4463,2.06,2.24,8.22,3.07,9998.34,4463,0,9.9983,0
host,452.84,10.0021,4530,2.03,2.21,8.05,2.3,10000.31,4530,0,10.0003,0
host,452.91,10.0006,4530,2.06,2.21,8.83,2.3,9998.84,4530,0,9.9988,0
host,451.62,10.002,4518,2.06,2.21,8.86,2.35,9999.95,4518,0,9.9999,0
host,446.9,10.0007,4470,2.06,2.24,4.74,3.07,9998.95,4470,0,9.999,0
host,453.67,10.0013,4538,2.07,2.2,4.7,2.3,9999.43,4538,0,9.9994,0
host,454.32,10.0021,4545,2.07,2.2,4.89,2.3,10000.34,4545,0,10.0003,0
host,454.77,10.0013,4549,2.08,2.2,4.77,2.3,9999.56,4549,0,9.9996,0
host,443.86,10.0013,4440,2.06,2.25,4.51,2.43,9999.52,4440,0,9.9995,0
host,437.02,10.0024,4372,2.05,2.29,5.23,2.97,10000.63,4372,0,10.0006,0
host,443.61,10.002,4438,2.05,2.25,4.53,2.43,10000.26,4438,0,10.0003,0
host,444.01,10.0024,4442,2.06,2.25,4.83,2.43,10000.63,4442,0,10.0006,0